period,org_code,parent_org,org_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other,booked_ae_type_1,booked_ae_type_2,booked_ae_other,over_4hrs_type_1,over_4hrs_type_2,over_4hrs_other,over_4hrs_booked_type_1,over_4hrs_booked_type_2,over_4hrs_booked_other,dta_4_12hr_waits,dta_12hr_plus_waits,emergency_admissions_type_1,emergency_admissions_type_2,emergency_admissions_other_ae,other_emergency_admissions,source_file,total_ae_attendances,total_over_4hrs,total_emergency_admissions,over_4hrs_rate,admission_rate,over_4hrs_rate_pct,admission_rate_pct,reporting_month,performance_risk
MSitAE-DECEMBER-2023,RWH,NHS ENGLAND EAST OF ENGLAND ,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10195,0,5125,3,0,412,6245,0,22,2,0,0,180,83,2829,0,0,274,December-2023-revised-130624-nbe280.csv,15735,6269,3103,0.39841118525579916,0.19720368605020655,39.84,19.72,December-2023,High Pressure
MSitAE-DECEMBER-2023,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8646,0,0,789,0,0,3834,0,0,265,0,0,805,505,2618,0,0,714,December-2023-revised-130624-nbe280.csv,9435,4099,3332,0.43444621091679914,0.35315315315315315,43.44,35.32,December-2023,High Pressure
MSitAE-DECEMBER-2023,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,11945,0,3904,177,0,96,4963,0,164,34,0,0,1216,361,3157,0,196,1391,December-2023-revised-130624-nbe280.csv,16122,5161,4744,0.32012157300583055,0.2942562957449448,32.01,29.43,December-2023,High Pressure
MSitAE-DECEMBER-2023,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12685,0,4385,0,0,7128,6597,0,0,0,0,0,2022,18,4548,0,0,795,December-2023-revised-130624-nbe280.csv,24198,6597,5343,0.2726258368460203,0.22080337217951898,27.26,22.08,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12312,3369,6550,0,0,355,5796,20,625,0,0,0,831,179,3696,0,0,1023,December-2023-revised-130624-nbe280.csv,22586,6441,4719,0.2851766581067918,0.20893473833348092,28.52,20.89,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8579,413,7532,94,0,145,5061,0,1635,39,0,43,337,820,1627,0,0,217,December-2023-revised-130624-nbe280.csv,16763,6778,1844,0.4043428980492752,0.11000417586350891,40.43,11.0,December-2023,High Pressure
MSitAE-DECEMBER-2023,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6108,0,1063,27,0,0,2761,0,0,14,0,0,262,81,2838,0,0,585,December-2023-revised-130624-nbe280.csv,7198,2775,3423,0.3855237565990553,0.4755487635454293,38.55,47.55,December-2023,High Pressure
MSitAE-DECEMBER-2023,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,11223,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,11223,181,0,0.016127595117170098,0.0,1.61,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11839,1826,0,746,0,0,4864,5,0,0,0,0,812,0,2664,1,0,805,December-2023-revised-130624-nbe280.csv,14411,4869,3470,0.3378669072236486,0.24078828672541808,33.79,24.08,December-2023,High Pressure
MSitAE-DECEMBER-2023,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11191,0,8357,373,0,1,4083,0,13,76,0,0,751,97,2744,0,0,1552,December-2023-revised-130624-nbe280.csv,19922,4172,4296,0.20941672522839072,0.21564099989960847,20.94,21.56,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11846,0,350,0,0,128,5075,0,0,0,0,0,1074,120,4252,0,0,1123,December-2023-revised-130624-nbe280.csv,12324,5075,5375,0.41179811749432005,0.43614086335605323,41.18,43.61,December-2023,High Pressure
MSitAE-DECEMBER-2023,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8101,0,6358,272,0,1025,3848,0,1165,92,0,0,473,785,2217,0,0,1053,December-2023-revised-130624-nbe280.csv,15756,5105,3270,0.324003554201574,0.20753998476770755,32.4,20.75,December-2023,High Pressure
MSitAE-DECEMBER-2023,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7486,0,3537,209,0,588,2792,0,101,51,0,52,601,305,3029,0,49,910,December-2023-revised-130624-nbe280.csv,11820,2996,3988,0.25346869712351944,0.3373942470389171,25.35,33.74,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,17905,0,2122,780,0,173,3493,0,42,70,0,4,961,34,5051,0,0,1021,December-2023-revised-130624-nbe280.csv,20980,3609,6072,0.17202097235462346,0.2894184938036225,17.2,28.94,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3303,0,0,353,0,0,171,0,0,9,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,3656,180,0,0.04923413566739606,0.0,4.92,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,24700,740,16882,0,0,0,12022,14,2453,0,0,0,1348,699,5433,0,0,1093,December-2023-revised-130624-nbe280.csv,42322,14489,6526,0.34235149567600776,0.1541987618732574,34.24,15.42,December-2023,High Pressure
MSitAE-DECEMBER-2023,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17532,0,7181,389,0,0,7689,0,195,80,0,0,401,384,7146,0,0,527,December-2023-revised-130624-nbe280.csv,25102,7964,7673,0.3172655565293602,0.30567285475260936,31.73,30.57,December-2023,High Pressure
MSitAE-DECEMBER-2023,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4902,0,694,166,0,30,1851,0,0,52,0,0,410,73,1349,0,0,422,December-2023-revised-130624-nbe280.csv,5792,1903,1771,0.32855662983425415,0.3057665745856354,32.86,30.58,December-2023,High Pressure
MSitAE-DECEMBER-2023,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12895,0,4085,48,0,416,6599,0,675,24,0,51,520,702,3084,0,125,1402,December-2023-revised-130624-nbe280.csv,17444,7349,4611,0.42129098830543454,0.26433157532675994,42.13,26.43,December-2023,High Pressure
MSitAE-DECEMBER-2023,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10133,0,5314,19,0,102,4989,0,458,8,0,6,985,284,3385,0,0,336,December-2023-revised-130624-nbe280.csv,15568,5461,3721,0.3507836587872559,0.23901593011305242,35.08,23.9,December-2023,High Pressure
MSitAE-DECEMBER-2023,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December-2023-revised-130624-nbe280.csv,3195,0,0,0.0,0.0,0.0,0.0,December-2023,Lower Pressure
MSitAE-DECEMBER-2023,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8815,478,2135,97,0,29,4465,8,80,33,0,0,294,1009,1962,0,0,1356,December-2023-revised-130624-nbe280.csv,11554,4586,3318,0.39691881599446077,0.28717327332525533,39.69,28.72,December-2023,High Pressure
MSitAE-DECEMBER-2023,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,12463,0,8423,0,0,1,5263,0,308,0,0,0,667,93,3298,0,0,2044,December-2023-revised-130624-nbe280.csv,20887,5571,5342,0.26672092689232535,0.2557571695312874,26.67,25.58,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,7875,0,3189,73,0,25,4251,0,550,30,0,2,531,614,2175,0,128,724,December-2023-revised-130624-nbe280.csv,11162,4833,3027,0.43298691990682675,0.27118795914710625,43.3,27.12,December-2023,High Pressure
MSitAE-DECEMBER-2023,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5877,0,6060,0,0,0,4106,0,262,0,0,0,627,39,1991,0,0,156,December-2023-revised-130624-nbe280.csv,11937,4368,2147,0.3659210856999246,0.17986093658373126,36.59,17.99,December-2023,High Pressure
MSitAE-DECEMBER-2023,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15600,0,7740,0,0,669,6616,0,0,0,0,0,80,12,4902,0,0,2217,December-2023-revised-130624-nbe280.csv,24009,6616,7119,0.27556333041776,0.29651380732225413,27.56,29.65,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23991,0,7238,0,0,0,12562,0,521,0,0,0,1277,818,6939,0,418,1445,December-2023-revised-130624-nbe280.csv,31229,13083,8802,0.41893752601748374,0.28185340548848825,41.89,28.19,December-2023,High Pressure
MSitAE-DECEMBER-2023,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5443,0,5394,0,0,229,2575,0,223,0,0,1,484,41,2598,0,0,1390,December-2023-revised-130624-nbe280.csv,11066,2799,3988,0.25293692391107897,0.36038315561178386,25.29,36.04,December-2023,Moderate Pressure
MSitAE-DECEMBER-2023,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12997,0,3336,0,0,0,6129,0,3,0,0,0,1280,305,3501,0,430,1143,December-2023-revised-130624-nbe280.csv,16333,6132,5074,0.3754362333925182,0.31065940121226965,37.54,31.07,December-2023,High Pressure
